,Date,stock_name,today_big_win,today_small_win,today_lose,tomorrow_big_win,tomorrow_small_win,tomorrow_lose,day2_big_win,day2_small_win,day2_lose,real_profit,Nasdaq,P_score
0,2019-02-08,코프라,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04179566563467492,D04,59.87
0,2019-02-08,SG&G,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032397408207343416,D04,45.96
0,2019-02-08,진원생명과학,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03485064011379801,D04,44.45
0,2019-02-08,메디콕스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019925280199252802,D04,37.5
0,2019-02-11,현대차,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01593625498007968,U02,100.0
0,2019-02-11,동진쎄미켐,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027428571428571427,U02,67.05
0,2019-02-11,카스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019830028328611898,U02,40.11
0,2019-02-11,풍국주정,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0481651376146789,U02,36.89
0,2019-02-11,SK하이닉스,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0326530612244898,U02,35.96
0,2019-02-12,유라테크,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.026170798898071626,U02,65.82
0,2019-02-12,현대제철,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01417004048582996,U02,43.26
0,2019-02-12,한화솔루션,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016129032258064516,U02,42.16
0,2019-02-12,카프로,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03413654618473896,U02,34.84
0,2019-02-12,삼성전기,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,U02,20.26
0,2019-02-13,스페코,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015353121801432957,U04,77.78
0,2019-02-13,인터파크,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029166666666666667,U04,50.0
0,2019-02-13,예림당,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031879194630872486,U04,48.81
0,2019-02-13,라이브파이낸셜,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,47.83
0,2019-02-13,프럼파스트,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014965986394557823,U04,41.05
0,2019-02-14,서희건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.011494252873563218,U01,63.24
