,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,86.28,P0,K0,유비벨록스,89850,2019-04-09,U03
0,84.96,P0,P0,좋은사람들,33340,2019-04-09,U03
0,83.42,P0,M0,대한약품,23910,2019-04-09,U03
0,100.0,P0,M0,유나이티드제약,33270,2019-04-08,U04
0,96.64,P0,M0,한국콜마,161890,2019-04-08,U04
0,75.34,P0,P0,기아차,270,2019-04-08,U04
0,75.1,P0,P0,유비쿼스홀딩스,78070,2019-04-08,U04
0,74.14,P0,P0,에스엘,5850,2019-04-08,U04
0,95.37,P0,P1,엠투엔,33310,2019-04-05,T01
0,86.1,P0,P0,우수AMS,66590,2019-04-05,T01
0,83.77,P0,K0,큐로컴,40350,2019-04-05,T01
0,80.53,P0,M0,위닉스,44340,2019-04-05,T01
0,77.1,P0,P1,판타지오,32800,2019-04-05,T01
0,96.47,P0,P0,루미마이크로,82800,2019-04-04,U04
0,93.04,P0,P0,오픈베이스,49480,2019-04-04,U04
0,87.63,P0,M0,덕성,4830,2019-04-04,U04
0,82.01,P0,K0,DMS,68790,2019-04-04,U04
0,76.63,P0,M0,보해양조,890,2019-04-04,U04
0,99.13,P0,P0,키네마스터,139670,2019-04-03,U03
0,87.93,P0,P0,현대홈쇼핑,57050,2019-04-03,U03
0,86.18,P0,P0,비씨월드제약,200780,2019-04-03,U03
0,80.89,P0,M0,좋은사람들,33340,2019-04-03,U03
0,80.63,P0,M0,슈프리마,236200,2019-04-03,U03
0,91.67,P0,M0,이라이콤,41520,2019-04-02,U04
0,91.13,P1,M0,테스나,131970,2019-04-02,U04
0,88.02,P0,P0,씨아이테크,4920,2019-04-02,U04
0,86.97,P0,P0,케이피에프,24880,2019-04-02,U04
0,84.25,P0,M0,제이콘텐트리,36420,2019-04-02,U04
0,95.01,P0,P0,동성화인텍,33500,2019-04-01,U04
0,93.93,P0,P0,CJ대한통운,120,2019-04-01,U04
0,92.76,P0,M0,레고켐바이오,141080,2019-04-01,U04
0,91.99,P0,M0,NEW,160550,2019-04-01,U04
0,88.63,P0,M0,연우,115960,2019-04-01,U04
0,91.33,P0,P0,유니테스트,86390,2019-03-29,U04
0,89.65,P0,P0,GS건설,6360,2019-03-29,U04
0,87.85,P0,P1,아난티,25980,2019-03-29,U04
0,84.29,P0,K0,에스엘,5850,2019-03-29,U04
0,83.61,P0,P0,동신건설,25950,2019-03-29,U04
0,87.8,P0,M0,푸드웰,5670,2019-03-28,D04
0,86.98,P0,M0,케이탑리츠,145270,2019-03-28,D04
0,85.29,P0,M0,유니온머티리얼,47400,2019-03-28,D04
0,83.14,P0,M0,큐로컴,40350,2019-03-28,D04
0,82.66,P0,M0,조선선재,120030,2019-03-28,D04
0,100.0,P0,M0,APS홀딩스,54620,2019-03-27,U04
0,100.0,P0,K0,현대차,5380,2019-03-27,U04
0,96.94,P0,M0,이녹스,88390,2019-03-27,U04
0,83.33,P0,P1,나이벡,138610,2019-03-27,U04
0,80.5,P0,M0,현대해상,1450,2019-03-27,U04
0,100.0,P0,P0,화승엔터프라이즈,241590,2019-03-26,T01
0,98.18,P0,M0,금호전기,1210,2019-03-26,T01
0,82.12,P0,P0,코리아에프티,123410,2019-03-26,T01
0,81.5,P0,P0,아미노로직스,74430,2019-03-26,T01
0,79.17,P0,M0,동국제약,86450,2019-03-26,T01
0,86.96,P0,M0,제노포커스,187420,2019-03-25,D04
0,84.32,P0,M0,한국화장품,123690,2019-03-25,D04
0,82.37,P0,M0,KBI메탈,24840,2019-03-25,D04
0,80.65,P0,P0,웹젠,69080,2019-03-25,D04
0,79.79,P0,M0,상지카일룸,42940,2019-03-25,D04
0,100.0,P0,M0,삼진엘앤디,54090,2019-03-22,U04
0,100.0,P0,P0,우리기술,32820,2019-03-22,U04
0,98.35,P0,M0,헬릭스미스,84990,2019-03-22,U04
0,96.39,P0,K0,에스와이,109610,2019-03-22,U04
0,93.48,P0,M0,S-Oil,10950,2019-03-22,U04
0,92.44,P0,M0,한국주강,25890,2019-03-21,U01
0,85.06,P0,P0,현진소재,53660,2019-03-21,U01
0,79.67,P0,K0,한국선재,25550,2019-03-21,U01
0,78.92,P0,M0,OQP,78590,2019-03-21,U01
0,77.54,P0,M0,오성첨단소재,52420,2019-03-21,U01
0,91.89,P0,P0,제이스텍,90470,2019-03-20,U02
0,87.18,P0,M0,THE E&M,89230,2019-03-20,U02
0,85.36,P0,M0,상신브레이크,41650,2019-03-20,U02
0,81.26,P0,P0,팬엔터테인먼트,68050,2019-03-20,U02
0,74.74,P0,M0,팬오션,28670,2019-03-20,U02
0,99.4,P0,M0,제주반도체,80220,2019-03-19,U04
0,97.41,P0,M0,휴니드,5870,2019-03-19,U04
0,94.7,P0,M0,코오롱생명과학,102940,2019-03-19,U04
0,88.54,P0,M0,엔브이에이치코리아,67570,2019-03-19,U04
0,87.43,P0,M0,픽셀플러스,87600,2019-03-19,U04
0,92.68,P0,M0,뉴로스,126870,2019-03-18,U04
0,88.51,P0,M0,삼부토건,1470,2019-03-18,U04
0,86.01,P0,M0,퓨전,195440,2019-03-18,U04
0,84.03,P0,P0,디아이,3160,2019-03-18,U04
0,83.56,P0,P0,상신브레이크,41650,2019-03-18,U04
0,97.42,P0,P0,금호전기,1210,2019-03-15,T01
0,81.65,P0,M0,제이스텍,90470,2019-03-15,T01
0,79.79,P0,P0,THE E&M,89230,2019-03-15,T01
0,77.94,P0,M0,일진홀딩스,15860,2019-03-15,T01
0,77.54,P0,M0,와이솔,122990,2019-03-15,T01
0,96.38,P0,P0,풀무원,17810,2019-03-14,U04
0,95.39,P0,P0,젬백스링크,64800,2019-03-14,U04
0,92.44,P0,P0,엔케이,85310,2019-03-14,U04
0,83.91,P0,M0,유엔젤,72130,2019-03-14,U04
0,79.46,P0,M0,넥슨지티,41140,2019-03-14,U04
0,93.69,P0,M0,네이블,153460,2019-03-13,U04
0,89.67,P0,M0,한익스프레스,14130,2019-03-13,U04
0,85.81,P0,M0,에스앤에스텍,101490,2019-03-13,U04
0,81.65,P0,P0,한신공영,4960,2019-03-13,U04
0,78.06,P0,K0,크루셜텍,114120,2019-03-13,U04
0,100.0,P0,P0,대신정보통신,20180,2019-03-12,U04
0,100.0,P0,M0,동아화성,41930,2019-03-12,U04
0,97.79,P0,M0,신세계푸드,31440,2019-03-12,U04
0,89.2,P0,P0,와이엔텍,67900,2019-03-12,U04
0,84.14,P0,P0,케이탑리츠,145270,2019-03-12,U04
0,97.87,P0,P0,오텍,67170,2019-03-11,T01
0,95.42,P0,M0,삼화전자,11230,2019-03-11,T01
0,95.31,P0,P0,DB손해보험,5830,2019-03-11,T01
0,92.62,P0,P0,아이디스,143160,2019-03-11,T01
0,86.08,P0,M0,에이디칩스,54630,2019-03-11,T01
0,100.0,P0,P0,유진테크,84370,2019-03-08,D04
0,94.71,P0,M0,메타바이오메드,59210,2019-03-08,D04
