,종목코드,회사명,업종
1112,064800,젬백스링크,"섬유, 의복, 신발 및 가죽제품 소매업"
1113,064820,케이프,선박 및 보트 건조업
1114,064960,S&T모티브,자동차 신품 부품 제조업
1115,065060,지엔코,봉제의복 제조업
1116,065130,탑엔지니어링,특수 목적용 기계 제조업
1117,065150,MP그룹,음·식료품 및 담배 도매업
1118,065170,넥스트BT,음·식료품 및 담배 도매업
1119,065350,신성델타테크,가정용 기기 제조업
1120,065370,위세아이텍,소프트웨어 개발 및 공급업
1121,065420,에스아이리소스,석탄 광업
1122,065440,이루온,소프트웨어 개발 및 공급업
1123,065450,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1124,065500,오리엔트정공,자동차 신품 부품 제조업
1125,065510,휴비츠,의료용 기기 제조업
1126,065530,전파기지국,전기 통신업
1127,065560,녹원씨엔아이,인쇄 및 인쇄관련 산업
1128,065570,삼영이엔씨,통신 및 방송 장비 제조업
1129,065620,제낙스,1차 철강 제조업
1130,065650,메디프론,기계장비 및 관련 물품 도매업
1131,065660,안트로젠,기타 전문 도매업
1132,065680,우주일렉트로,전자부품 제조업
1133,065690,파커스,반도체 제조업
1134,065710,서호전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1135,065770,CS,통신 및 방송 장비 제조업
1136,065950,웰크론,직물직조 및 직물제품 제조업
1137,066110,한프,컴퓨터 및 주변장치 제조업
1138,066130,하츠,가정용 기기 제조업
1139,066310,큐에스아이,반도체 제조업
1140,066360,체리부로,"도축, 육류 가공 및 저장 처리업"
1141,066410,버킷스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1142,066430,와이오엠,기타 전문 도매업
1143,066570,LG전자,통신 및 방송 장비 제조업
1144,066590,우수AMS,자동차 신품 부품 제조업
1145,066620,국보디자인,실내건축 및 건축마무리 공사업
1146,066670,디스플레이텍,전자부품 제조업
1147,066700,테라젠이텍스,의약품 제조업
1148,066790,씨씨에스,텔레비전 방송업
1149,066900,디에이피,전자부품 제조업
1150,066910,손오공,기타 전문 도매업
1151,066970,엘앤에프,일차전지 및 축전지 제조업
1152,066980,브레인콘텐츠,기타 정보 서비스업
1153,067000,조이시티,소프트웨어 개발 및 공급업
1154,067010,이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1155,067080,대화제약,의약품 제조업
1156,067160,아프리카TV,소프트웨어 개발 및 공급업
1157,067170,오텍,자동차 재제조 부품 제조업
1158,067280,멀티캠퍼스,기타 교육기관
1159,067290,JW신약,의약품 제조업
1160,067310,하나마이크론,반도체 제조업
1161,067390,아스트,"항공기,우주선 및 부품 제조업"
1162,067570,엔브이에이치코리아,자동차 신품 부품 제조업
1163,067630,에이치엘비생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업"
1164,067730,로지시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1165,067770,세진티에스,전자부품 제조업
1166,067830,세이브존I&C,종합 소매업
1167,067900,와이엔텍,폐기물 처리업
1168,067920,이글루시큐리티,기타 정보 서비스업
1169,067990,도이치모터스,자동차 판매업
1170,068050,팬엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1171,068240,다원시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1172,068270,셀트리온,기초 의약물질 및 생물학적 제제 제조업
1173,068290,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업"
1174,068330,일신바이오,일반 목적용 기계 제조업
1175,068400,SK렌터카,운송장비 임대업
1176,068760,셀트리온제약,의약품 제조업
1177,068790,DMS,특수 목적용 기계 제조업
1178,068930,디지털대성,일반 교습 학원
1179,068940,아이씨케이,전자부품 제조업
1180,069080,웹젠,소프트웨어 개발 및 공급업
1181,069110,코스온,기타 화학제품 제조업
1182,069140,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1183,069260,휴켐스,기타 화학제품 제조업
1184,069330,유아이디,전자부품 제조업
1185,069410,엔텔스,소프트웨어 개발 및 공급업
1186,069460,대호에이엘,1차 비철금속 제조업
1187,069510,에스텍,영상 및 음향기기 제조업
1188,069540,라이트론,통신 및 방송 장비 제조업
1189,069620,대웅제약,의약품 제조업
1190,069640,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업"
1191,069730,DSR제강,1차 철강 제조업
1192,069920,아이에스이커머스,무점포 소매업
1193,069960,현대백화점,종합 소매업
1194,070300,엑스큐어,소프트웨어 개발 및 공급업
1195,070590,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1196,070960,용평리조트,일반 및 생활 숙박시설 운영업
1197,071050,한국금융지주,기타 금융업
1198,071090,하이스틸,1차 철강 제조업
1199,071200,인피니트헬스케어,소프트웨어 개발 및 공급업
1200,071280,로체시스템즈,특수 목적용 기계 제조업
1201,071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업"
1202,071460,위니아딤채,가정용 기기 제조업
1203,071670,에이테크솔루션,특수 목적용 기계 제조업
1204,071840,롯데하이마트,가전제품 및 정보통신장비 소매업
1205,071850,캐스텍코리아,자동차 신품 부품 제조업
1206,071950,코아스,가구 제조업
1207,071970,STX중공업,일반 목적용 기계 제조업
1208,072020,중앙백신,기초 의약물질 및 생물학적 제제 제조업
1209,072130,유엔젤,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1210,072470,우리산업홀딩스,자동차 신품 부품 제조업
1211,072520,제넨바이오,폐기물 처리업
1212,072710,농심홀딩스,기타 금융업
1213,072770,율호,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1214,072870,메가스터디,"서적, 잡지 및 기타 인쇄물 출판업"
1215,072950,빛샘전자,전자부품 제조업
1216,072990,에이치시티,기타 과학기술 서비스업
1217,073010,케이에스피,일반 목적용 기계 제조업
1218,073070,에스모,자동차 신품 부품 제조업
1219,073110,엘엠에스,전자부품 제조업
1220,073190,듀오백,가구 제조업
1221,073240,금호타이어,고무제품 제조업
1222,073490,이노와이어리스,통신 및 방송 장비 제조업
1223,073540,에프알텍,통신 및 방송 장비 제조업
1224,073560,우리손에프앤지,"도축, 육류 가공 및 저장 처리업"
1225,073570,WI,특수 목적용 기계 제조업
1226,073640,테라사이언스,기타 금속 가공제품 제조업
1227,074430,아미노로직스,기타 전문 도매업
1228,074600,원익QnC,유리 및 유리제품 제조업
1229,074610,이엔플러스,일반 목적용 기계 제조업
1230,075130,플랜티넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1231,075180,새론오토모티브,자동차 신품 부품 제조업
1232,075580,세진중공업,선박 및 보트 건조업
1233,075970,동국알앤에스,기타 비금속 광물제품 제조업
1234,076080,웰크론한텍,건물 건설업
1235,076610,해성옵틱스,사진장비 및 광학기기 제조업
1236,077360,덕산하이메탈,반도체 제조업
1237,077500,유니퀘스트,기계장비 및 관련 물품 도매업
1238,077970,STX엔진,일반 목적용 기계 제조업
1239,078000,텔코웨어,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1240,078020,이베스트투자증권,금융 지원 서비스업
1241,078070,유비쿼스홀딩스,통신 및 방송 장비 제조업
1242,078130,국일제지,기타 종이 및 판지 제품 제조업
1243,078140,대봉엘에스,의약품 제조업
1244,078150,HB테크놀러지,특수 목적용 기계 제조업
1245,078160,메디포스트,기초 의약물질 및 생물학적 제제 제조업
1246,078340,컴투스,소프트웨어 개발 및 공급업
1247,078350,한양디지텍,반도체 제조업
1248,078520,에이블씨엔씨,기타 화학제품 제조업
1249,078590,OQP,자동차 신품 부품 제조업
1250,078600,대주전자재료,전자부품 제조업
1251,078650,코렌,사진장비 및 광학기기 제조업
1252,078860,아이오케이,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1253,078890,가온미디어,통신 및 방송 장비 제조업
1254,078930,GS,기타 금융업
1255,078940,코드네이처,전기 및 통신 공사업
1256,079000,와토스코리아,플라스틱제품 제조업
1257,079160,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1258,079170,한창산업,1차 비철금속 제조업
1259,079190,EMW,통신 및 방송 장비 제조업
1260,079370,제우스,특수 목적용 기계 제조업
1261,079430,현대리바트,가구 제조업
1262,079550,LIG넥스원,무기 및 총포탄 제조업
1263,079650,서산,"시멘트, 석회, 플라스터 및 그 제품 제조업"
1264,079810,디이엔티,특수 목적용 기계 제조업
1265,079940,가비아,소프트웨어 개발 및 공급업
1266,079950,인베니아,특수 목적용 기계 제조업
1267,079960,동양이엔피,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1268,079970,투비소프트,소프트웨어 개발 및 공급업
1269,079980,휴비스,화학섬유 제조업
1270,080000,에스엔유,특수 목적용 기계 제조업
1271,080010,이상네트웍스,상품 중개업
1272,080160,모두투어,여행사 및 기타 여행보조 서비스업
1273,080220,제주반도체,반도체 제조업
1274,080420,모다이노칩,"섬유, 의복, 신발 및 가죽제품 소매업"
1275,080440,에스제이케이,기타 전문 도매업
1276,080470,성창오토텍,자동차 신품 부품 제조업
1277,080520,오디텍,반도체 제조업
1278,080530,코디,기타 화학제품 제조업
1279,080580,오킨스전자,전자부품 제조업
1280,080720,한국유니온제약,의약품 제조업
1281,081000,일진다이아,기타 화학제품 제조업
1282,081150,티플랙스,기타 금속 가공제품 제조업
1283,081580,성우전자,통신 및 방송 장비 제조업
1284,081660,휠라홀딩스,생활용품 도매업
1285,082210,옵트론텍,사진장비 및 광학기기 제조업
1286,082270,젬백스,특수 목적용 기계 제조업
1287,082640,동양생명,보험업
1288,082660,코스나인,통신 및 방송 장비 제조업
1289,082740,HSD엔진,일반 목적용 기계 제조업
1290,082800,루미마이크로,반도체 제조업
1291,082850,우리바이오,전구 및 조명장치 제조업
1292,082920,비츠로셀,일차전지 및 축전지 제조업
1293,083310,엘오티베큠,특수 목적용 기계 제조업
1294,083420,그린케미칼,기타 화학제품 제조업
1295,083450,GST,특수 목적용 기계 제조업
1296,083470,이엠앤아이,플라스틱제품 제조업
1297,083500,에프엔에스테크,특수 목적용 기계 제조업
1298,083550,케이엠,기타 섬유제품 제조업
1299,083640,인콘,통신 및 방송 장비 제조업
1300,083650,비에이치아이,일반 목적용 기계 제조업
1301,083660,CSA 코스믹,기타 화학제품 제조업
1302,083790,크리스탈지노믹스,자연과학 및 공학 연구개발업
1303,083930,아바코,특수 목적용 기계 제조업
1304,084010,대한제강,1차 철강 제조업
1305,084110,휴온스글로벌,의약품 제조업
1306,084180,수성,일반 목적용 기계 제조업
1307,084370,유진테크,특수 목적용 기계 제조업
1308,084650,랩지노믹스,자연과학 및 공학 연구개발업
1309,084670,동양고속,육상 여객 운송업
1310,084680,이월드,유원지 및 기타 오락관련 서비스업
1311,084690,대상홀딩스,기타 금융업
1312,084730,팅크웨어,통신 및 방송 장비 제조업
1313,084850,아이티엠반도체,전자부품 제조업
1314,084870,TBH글로벌,봉제의복 제조업
1315,084990,헬릭스미스,자연과학 및 공학 연구개발업
1316,085310,엔케이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1317,085370,루트로닉,의료용 기기 제조업
1318,085620,미래에셋생명,보험업
1319,085660,차바이오텍,기초 의약물질 및 생물학적 제제 제조업
1320,085670,뉴프렉스,전자부품 제조업
1321,085810,알티캐스트,소프트웨어 개발 및 공급업
1322,085910,네오티스,자동차 신품 부품 제조업
1323,086040,바이오톡스텍,자연과학 및 공학 연구개발업
1324,086060,진바이오텍,동물용 사료 및 조제식품 제조업
1325,086250,이노와이즈,특수 목적용 기계 제조업
1326,086280,현대글로비스,기타 운송관련 서비스업
1327,086390,유니테스트,특수 목적용 기계 제조업
1328,086450,동국제약,의약품 제조업
1329,086520,에코프로,기타 화학제품 제조업
1330,086670,비엠티,일반 목적용 기계 제조업
1331,086790,하나금융지주,기타 금융업
1332,086820,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업
1333,086890,이수앱지스,의료용품 및 기타 의약 관련제품 제조업
1334,086900,메디톡스,기초 의약물질 및 생물학적 제제 제조업
1335,086960,한컴MDS,소프트웨어 개발 및 공급업
1336,086980,쇼박스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1337,087010,펩트론,기초 의약물질 및 생물학적 제제 제조업
1338,087260,모바일어플라이언스,소프트웨어 개발 및 공급업
1339,087600,픽셀플러스,전자부품 제조업
1340,087730,에스모 머티리얼즈,합성고무 및 플라스틱 물질 제조업
1341,088130,동아엘텍,특수 목적용 기계 제조업
1342,088260,이리츠코크렙,부동산 임대 및 공급업
1343,088290,이원컴포텍,자동차 신품 부품 제조업
1344,088350,한화생명,보험업
1345,088390,이녹스,그외 기타 운송장비 제조업
1346,088790,진도,기타 전문 도매업
1347,088800,에이스테크,통신 및 방송 장비 제조업
1348,088910,동우팜투테이블,"도축, 육류 가공 및 저장 처리업"
1349,088980,맥쿼리인프라,신탁업 및 집합투자업
1350,089010,켐트로닉스,기타 화학제품 제조업
1351,089030,테크윙,특수 목적용 기계 제조업
1352,089140,넥스턴,유리 및 유리제품 제조업
1353,089150,케이씨티,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1354,089230,THE E&M,기타 정보 서비스업
1355,089470,HDC현대EP,기타 화학제품 제조업
1356,089530,에이티세미콘,반도체 제조업
1357,089590,제주항공,항공 여객 운송업
1358,089600,나스미디어,광고업
1359,089790,제이티,특수 목적용 기계 제조업
1360,089850,유비벨록스,소프트웨어 개발 및 공급업
1361,089890,코세스,특수 목적용 기계 제조업
1362,089970,에이피티씨,특수 목적용 기계 제조업
1363,089980,상아프론테크,플라스틱제품 제조업
1364,090080,평화산업,자동차 신품 부품 제조업
1365,090150,광진윈텍,자동차 신품 부품 제조업
1366,090350,노루페인트,기타 화학제품 제조업
1367,090360,로보스타,특수 목적용 기계 제조업
1368,090370,메타랩스,봉제의복 제조업
1369,090410,덕신하우징,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1370,090430,아모레퍼시픽,기타 화학제품 제조업
1371,090460,비에이치,전자부품 제조업
1372,090470,제이스텍,특수 목적용 기계 제조업
1373,090710,휴림로봇,특수 목적용 기계 제조업
1374,090740,아이엠이연이,전자부품 제조업
1375,090850,이지웰,소프트웨어 개발 및 공급업
1376,091090,세원셀론텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1377,091120,이엠텍,전자부품 제조업
1378,091340,S&K폴리텍,전자부품 제조업
1379,091440,텔레필드,통신 및 방송 장비 제조업
1380,091580,상신이디피,일차전지 및 축전지 제조업
1381,091590,남화토건,건물 건설업
1382,091700,파트론,전자부품 제조업
1383,091810,티웨이항공,항공 여객 운송업
1384,091970,나노캠텍,플라스틱제품 제조업
1385,091990,셀트리온헬스케어,기타 전문 도매업
1386,092040,아미코젠,기타 식품 제조업
1387,092070,디엔에프,기타 화학제품 제조업
1388,092130,이크레더블,기타 정보 서비스업
1389,092190,서울바이오시스,반도체 제조업
1390,092200,디아이씨,자동차 신품 부품 제조업
1391,092220,KEC,반도체 제조업
1392,092230,KPX홀딩스,기초 화학물질 제조업
1393,092300,현우산업,전자부품 제조업
1394,092440,기신정기,특수 목적용 기계 제조업
1395,092460,한라IMS,선박 및 보트 건조업
1396,092600,앤씨앤,반도체 제조업
1397,092730,네오팜,기타 화학제품 제조업
1398,092780,동양피스톤,자동차용 엔진 및 자동차 제조업
1399,092870,엑시콘,특수 목적용 기계 제조업
1400,093050,LF,봉제의복 제조업
1401,093190,빅솔론,컴퓨터 및 주변장치 제조업
1402,093230,이아이디,기타 전문 도매업
1403,093240,형지엘리트,봉제의복 제조업
1404,093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1405,093370,후성,기초 화학물질 제조업
1406,093380,풍강,기타 금속 가공제품 제조업
1407,093520,매커스,기계장비 및 관련 물품 도매업
1408,093640,다믈멀티미디어,반도체 제조업
1409,093920,서원인텍,통신 및 방송 장비 제조업
1410,094170,동운아나텍,반도체 제조업
1411,094280,효성ITX,기타 사업지원 서비스업
1412,094360,칩스앤미디어,소프트웨어 개발 및 공급업
1413,094480,갤럭시아머니트리,소프트웨어 개발 및 공급업
1414,094800,맵스리얼티1,신탁업 및 집합투자업
1415,094820,일진파워,전기 및 통신 공사업
1416,094840,슈프리마에이치큐,통신 및 방송 장비 제조업
1417,094850,참좋은여행,여행사 및 기타 여행보조 서비스업
1418,094860,코닉글로리,소프트웨어 개발 및 공급업
1419,094940,푸른기술,컴퓨터 및 주변장치 제조업
1420,094970,제이엠티,전자부품 제조업
1421,095190,이엠코리아,특수 목적용 기계 제조업
1422,095270,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1423,095340,ISC,전자부품 제조업
1424,095500,미래나노텍,플라스틱제품 제조업
1425,095570,AJ네트웍스,산업용 기계 및 장비 임대업
1426,095610,테스,특수 목적용 기계 제조업
1427,095660,네오위즈,소프트웨어 개발 및 공급업
1428,095700,제넥신,자연과학 및 공학 연구개발업
1429,095720,웅진씽크빅,초등 교육기관
1430,095910,에스에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1431,096040,이트론,기타 전문 도매업
1432,096240,청담러닝,일반 교습 학원
1433,096300,베트남개발1,신탁업 및 집합투자업
1434,096350,대창솔루션,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1435,096530,씨젠,의료용품 및 기타 의약 관련제품 제조업
1436,096610,알에프세미,반도체 제조업
1437,096630,에스코넥,통신 및 방송 장비 제조업
1438,096640,멜파스,전자부품 제조업
1439,096690,에이루트,컴퓨터 및 주변장치 제조업
1440,096760,JW홀딩스,기타 금융업
1441,096770,SK이노베이션,석유 정제품 제조업
1442,096870,엘디티,반도체 제조업
1443,097230,한진중공업,토목 건설업
1444,097520,엠씨넥스,영상 및 음향기기 제조업
1445,097780,에스맥,통신 및 방송 장비 제조업
1446,097800,윈팩,반도체 제조업
1447,097870,효성오앤비,"비료, 농약 및 살균, 살충제 제조업"
1448,097950,CJ제일제당,기타 식품 제조업
1449,098120,마이크로컨텍솔,전자부품 제조업
1450,098460,고영,특수 목적용 기계 제조업
1451,098660,에스티오,봉제의복 제조업
1452,099190,아이센스,의료용 기기 제조업
1453,099220,SDN,기계장비 및 관련 물품 도매업
1454,099320,쎄트렉아이,"항공기,우주선 및 부품 제조업"
1455,099410,동방선기,선박 및 보트 건조업
1456,099440,스맥,특수 목적용 기계 제조업
1457,099520,ITX-AI,영상 및 음향기기 제조업
1458,099750,이지케어텍,소프트웨어 개발 및 공급업
1459,100030,모바일리더,소프트웨어 개발 및 공급업
1460,100090,삼강엠앤티,1차 철강 제조업
1461,100120,뷰웍스,의료용 기기 제조업
1462,100130,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1463,100220,비상교육,"서적, 잡지 및 기타 인쇄물 출판업"
1464,100250,진양홀딩스,플라스틱제품 제조업
1465,100590,머큐리,통신 및 방송 장비 제조업
1466,100660,서암기계공업,일반 목적용 기계 제조업
1467,100700,세운메디칼,의료용품 및 기타 의약 관련제품 제조업
1468,100790,미래에셋벤처투자,기타 금융업
1469,100840,S&TC,일반 목적용 기계 제조업
1470,101000,상상인인더스트리,특수 목적용 기계 제조업
1471,101060,SBS미디어홀딩스,텔레비전 방송업
1472,101140,비티원,생활용품 도매업
1473,101160,월덱스,전자부품 제조업
1474,101170,우림기계,일반 목적용 기계 제조업
1475,101240,씨큐브,기초 화학물질 제조업
1476,101330,모베이스,통신 및 방송 장비 제조업
1477,101360,이엔드디,기타 화학제품 제조업
1478,101390,아이엠,전자부품 제조업
1479,101400,엔시트론,반도체 제조업
1480,101490,에스앤에스텍,전자부품 제조업
1481,101530,해태제과식품,기타 식품 제조업
1482,101670,코리아에스이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1483,101680,한국정밀기계,특수 목적용 기계 제조업
1484,101730,조이맥스,소프트웨어 개발 및 공급업
1485,101930,인화정공,선박 및 보트 건조업
1486,102120,어보브반도체,반도체 제조업
1487,102210,해덕파워웨이,선박 및 보트 건조업
1488,102260,동성코퍼레이션,회사 본부 및 경영 컨설팅 서비스업
1489,102280,쌍방울,봉제의복 제조업
1490,102460,이연제약,의약품 제조업
1491,102710,이엔에프테크놀로지,기타 화학제품 제조업
1492,102940,코오롱생명과학,기초 의약물질 및 생물학적 제제 제조업
1493,103140,풍산,1차 비철금속 제조업
1494,103230,에스앤더블류,일반 목적용 기계 제조업
1495,103590,일진전기,절연선 및 케이블 제조업
1496,103840,우양,"과실, 채소 가공 및 저장 처리업"
1497,104040,대성파인텍,자동차 신품 부품 제조업
1498,104200,NHN벅스,소프트웨어 개발 및 공급업
1499,104460,디와이피엔에프,일반 목적용 기계 제조업
1500,104480,티케이케미칼,화학섬유 제조업
1501,104540,코렌텍,의료용 기기 제조업
1502,104620,노랑풍선,여행사 및 기타 여행보조 서비스업
1503,104700,한국철강,1차 철강 제조업
1504,104830,원익머트리얼즈,기초 화학물질 제조업
1505,105330,케이엔더블유,전자부품 제조업
1506,105550,트루윈,전자부품 제조업
1507,105560,KB금융,기타 금융업
1508,105630,한세실업,봉제의복 제조업
1509,105740,디케이락,일반 목적용 기계 제조업
1510,105840,우진,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1511,106080,하이소닉,전자부품 제조업
1512,106190,하이텍팜,기타 전문 도매업
1513,106240,파인테크닉스,통신 및 방송 장비 제조업
1514,106520,디지탈옵틱,사진장비 및 광학기기 제조업
1515,107590,미원홀딩스,기타 금융업
1516,108230,톱텍,특수 목적용 기계 제조업
1517,108320,실리콘웍스,반도체 제조업
1518,108380,대양전기공업,선박 및 보트 건조업
1519,108490,로보티즈,특수 목적용 기계 제조업
1520,108670,LG하우시스,플라스틱제품 제조업
1521,108860,셀바스AI,소프트웨어 개발 및 공급업
1522,109070,컨버즈,"골판지, 종이 상자 및 종이용기 제조업"
1523,109080,옵티시스,통신 및 방송 장비 제조업
1524,109610,에스와이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1525,109740,디에스케이,특수 목적용 기계 제조업
1526,109820,진매트릭스,자연과학 및 공학 연구개발업
1527,109860,동일금속,금속 주조업
1528,109960,에이프로젠 H&G,기타 전문 도매업
1529,110020,전진바이오팜,기타 화학제품 제조업
1530,110790,크리스에프앤씨,봉제의복 제조업
1531,110990,디아이티,특수 목적용 기계 제조업
1532,111110,호전실업,봉제의복 제조업
1533,111710,남화산업,스포츠 서비스업
1534,111770,영원무역,상품 종합 도매업
1535,111820,지와이커머스,기타 정보 서비스업
1536,111870,삼본전자,영상 및 음향기기 제조업
1537,112040,위메이드,소프트웨어 개발 및 공급업
1538,112610,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1539,113810,디젠스,자동차 신품 부품 제조업
1540,114090,GKL,유원지 및 기타 오락관련 서비스업
1541,114120,크루셜텍,전자부품 제조업
1542,114190,강원,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1543,114450,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업
1544,114570,지스마트글로벌,반도체 제조업
1545,114630,우노앤컴퍼니,화학섬유 제조업
1546,114810,아이원스,특수 목적용 기계 제조업
1547,115160,휴맥스,영상 및 음향기기 제조업
1548,115180,큐리언트,자연과학 및 공학 연구개발업
1549,115310,인포바인,전기 통신업
1550,115390,락앤락,플라스틱제품 제조업
1551,115440,우리넷,통신 및 방송 장비 제조업
1552,115450,지트리비앤티,기타 전문 도매업
1553,115480,씨유메디칼,의료용 기기 제조업
1554,115500,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1555,115530,씨엔플러스,전자부품 제조업
1556,115570,스타플렉스,플라스틱제품 제조업
1557,115610,이미지스,반도체 제조업
1558,115960,연우,플라스틱제품 제조업
1559,117580,대성에너지,연료용 가스 제조 및 배관공급업
1560,117670,알파홀딩스,반도체 제조업
1561,117730,티로보틱스,특수 목적용 기계 제조업
1562,118000,우리들휴브레인,기계장비 및 관련 물품 도매업
1563,118990,모트렉스,자동차 신품 부품 제조업
1564,119500,포메탈,기타 금속 가공제품 제조업
1565,119610,인터로조,의료용 기기 제조업
1566,119650,KC코트렐,일반 목적용 기계 제조업
1567,119830,아이텍,"그외 기타 전문, 과학 및 기술 서비스업"
1568,119850,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1569,119860,다나와,소프트웨어 개발 및 공급업
1570,120030,조선선재,기타 금속 가공제품 제조업
1571,120110,코오롱인더,화학섬유 제조업
1572,120240,대정화금,기초 화학물질 제조업
1573,121440,골프존뉴딘홀딩스,상품 중개업
1574,121600,나노신소재,기타 화학제품 제조업
1575,121800,비덴트,통신 및 방송 장비 제조업
1576,121850,코이즈,플라스틱제품 제조업
1577,121890,에스디시스템,전자부품 제조업
1578,122310,제노레이,의료용 기기 제조업
1579,122350,삼기,자동차 신품 부품 제조업
1580,122450,KMH,텔레비전 방송업
1581,122640,예스티,특수 목적용 기계 제조업
1582,122690,서진오토모티브,자동차 신품 부품 제조업
1583,122870,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업
1584,122900,아이마켓코리아,상품 종합 도매업
1585,122990,와이솔,전자부품 제조업
1586,123010,아이에이네트웍스,전자부품 제조업
1587,123040,엠에스오토텍,자동차 신품 부품 제조업
1588,123330,제닉,기타 화학제품 제조업
1589,123410,코리아에프티,자동차 신품 부품 제조업
1590,123420,선데이토즈,소프트웨어 개발 및 공급업
1591,123570,이엠넷,광고업
1592,123690,한국화장품,생활용품 도매업
1593,123700,SJM,자동차 신품 부품 제조업
1594,123750,알톤스포츠,그외 기타 운송장비 제조업
1595,123840,한일진공,특수 목적용 기계 제조업
1596,123860,아나패스,반도체 제조업
1597,123890,한국자산신탁,신탁업 및 집합투자업
1598,124500,아이티센,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1599,124560,태웅로직스,기타 운송관련 서비스업
1600,125210,아모그린텍,전자부품 제조업
1601,126340,비나텍,일차전지 및 축전지 제조업
1602,126560,현대에이치씨엔,텔레비전 방송업
1603,126600,코프라,합성고무 및 플라스틱 물질 제조업
1604,126640,화신정공,자동차 신품 부품 제조업
1605,126700,하이비젼시스템,사진장비 및 광학기기 제조업
1606,126870,뉴로스,일반 목적용 기계 제조업
1607,126880,제이엔케이히터,일반 목적용 기계 제조업
1608,127120,디엔에이링크,자연과학 및 공학 연구개발업
1609,127160,매직마이크로,전자부품 제조업
1610,127710,아시아경제,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1611,128540,에코캡,자동차 신품 부품 제조업
1612,128660,피제이메탈,1차 비철금속 제조업
1613,128820,대성산업,연료 소매업
1614,128940,한미약품,의약품 제조업
1615,129260,인터지스,도로 화물 운송업
1616,130500,GH신소재,기타 섬유제품 제조업
1617,130580,나이스디앤비,기타 사업지원 서비스업
1618,130660,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업"
1619,130740,티피씨글로벌,자동차 신품 부품 제조업
1620,131030,디에이치피코리아,의약품 제조업
1621,131090,시큐브,소프트웨어 개발 및 공급업
1622,131100,스카이이앤엠,상품 종합 도매업
1623,131180,딜리,컴퓨터 및 주변장치 제조업
1624,131220,대한과학,기계장비 및 관련 물품 도매업
1625,131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1626,131370,알서포트,소프트웨어 개발 및 공급업
1627,131390,피앤이솔루션,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1628,131400,액트,전자부품 제조업
1629,131760,파인텍,특수 목적용 기계 제조업
1630,131970,테스나,"그외 기타 전문, 과학 및 기술 서비스업"
1631,133750,메가엠디,일반 교습 학원
1632,133820,화인베스틸,1차 철강 제조업
