,종목코드
1344,077360
1345,077500
1346,077970
1347,078000
1348,078020
1349,078070
1350,078130
1351,078140
1352,078150
1353,078160
1354,078340
1355,078350
1356,078520
1357,078590
1358,078600
1359,078650
1360,078860
1361,078890
1362,078930
1363,078935
1364,078940
1365,079000
1366,079160
1367,079170
1368,079190
1369,079370
1370,079430
1371,079550
1372,079650
1373,079810
1374,079940
1375,079950
1376,079960
1377,079970
1378,079980
1379,080000
1380,080010
1381,080160
1382,080220
1383,080420
1384,080440
1385,080470
1386,080520
1387,080530
1388,080580
1389,080720
1390,081000
1391,081150
1392,081580
1393,081660
1394,082210
1395,082270
1396,082640
1397,082660
1398,082740
1399,082800
1400,082850
1401,082920
1402,083310
1403,083420
1404,083450
1405,083470
1406,083500
1407,083550
1408,083640
1409,083650
1410,083660
1411,083790
1412,083930
1413,084010
1414,084110
1415,084180
1416,084370
1417,084440
1418,084650
1419,084670
1420,084680
1421,084690
1422,084695
1423,084730
1424,084850
1425,084870
1426,084990
1427,085310
1428,085370
1429,08537M
1430,085620
1431,085660
1432,085670
1433,085810
1434,085910
1435,086040
1436,086060
1437,086080
1438,086220
1439,086250
1440,086280
1441,086390
1442,086450
1443,086460
1444,086520
1445,086670
1446,086790
1447,086820
1448,086890
1449,086900
1450,086960
1451,086980
1452,087010
1453,087260
1454,087600
1455,087730
1456,088130
1457,088260
1458,088290
1459,088350
1460,088390
1461,088790
1462,088800
1463,088910
1464,088980
1465,089010
1466,089030
1467,089140
1468,089150
1469,089230
1470,089470
1471,089530
1472,089590
1473,089600
1474,089790
1475,089850
1476,089890
1477,089970
1478,089980
1479,090080
1480,090150
1481,090350
1482,090355
1483,090360
1484,090370
1485,090410
1486,090430
1487,090435
1488,090460
1489,090470
1490,090710
1491,090740
1492,090850
1493,091090
1494,091120
1495,091340
1496,091440
1497,091580
1498,091590
1499,091700
1500,091810
1501,091970
1502,091990
1503,092040
1504,092070
1505,092130
1506,092190
1507,092200
1508,092220
1509,092230
1510,092300
1511,092440
1512,092460
1513,092590
1514,092600
1515,092730
1516,092780
1517,092870
1518,093050
1519,093190
1520,093230
1521,093240
1522,093320
1523,093370
1524,093380
1525,093510
1526,093520
1527,093640
1528,093920
1529,094170
1530,094280
1531,094360
1532,094480
1533,094800
1534,094820
1535,094840
1536,094850
1537,094860
1538,094940
1539,094970
1540,095190
1541,095270
1542,095340
1543,095500
1544,095570
1545,095610
1546,095660
1547,095700
1548,095720
1549,095910
1550,096040
1551,096240
1552,096300
1553,096350
1554,096530
1555,096610
1556,096630
1557,096640
1558,096690
1559,096760
1560,096770
1561,096775
1562,096870
1563,097230
1564,097520
1565,097780
1566,097800
1567,097870
1568,097950
1569,097955
1570,098120
1571,098460
1572,098660
1573,099190
1574,099220
1575,099320
1576,099410
1577,099440
1578,099520
1579,099750
1580,100030
1581,100090
1582,100120
1583,100130
1584,100220
1585,100250
1586,100590
1587,100660
1588,100700
1589,100790
1590,100840
1591,101000
1592,101060
1593,101140
1594,101160
1595,101170
1596,101240
1597,101330
1598,101360
1599,101390
1600,101400
1601,101490
1602,101530
1603,101670
1604,101680
1605,101730
1606,101930
1607,102120
1608,102210
1609,102260
1610,102280
1611,102460
1612,102710
1613,102940
1614,103140
1615,103230
1616,103590
1617,103660
1618,103840
1619,104040
1620,104200
1621,104460
1622,104480
1623,104540
1624,104620
1625,104700
1626,104830
1627,105330
1628,105550
1629,105560
1630,105630
1631,105740
1632,105840
1633,106080
1634,106190
1635,106240
1636,106520
1637,107590
1638,107640
1639,108230
1640,108320
1641,108380
1642,108490
1643,108670
1644,108675
1645,108860
1646,109070
1647,109080
1648,109610
1649,109740
1650,109820
1651,109860
1652,109960
1653,110020
1654,110790
1655,110990
1656,111110
1657,111710
1658,111770
1659,111820
1660,111870
1661,112040
1662,112190
1663,112610
1664,113810
1665,114090
1666,114120
1667,114190
1668,114450
1669,114570
1670,114630
1671,114810
1672,114920
1673,115160
1674,115180
1675,115310
1676,115390
1677,115440
1678,115450
1679,115480
1680,115500
1681,115530
